;ipca;expfocus;crb;hiato;des;credibilidade;d1;d2;d3;d4;d5;d6;d7;d8;d9;d10;d11;selic;dcambio;tjlp_cdb;exprac;ipcacheio
jan/04;0,73;0,58;4,553293736;-2,363870102;10,15328466;-1,071656293;1;0;0;0;0;0;0;0;0;0;0;16,32;-0,0735;-11,22494095;1,049325282;0,76
fev/04;0,75;0,43;2,517416739;-2,166348362;10,26564464;-1,12595679;0;1;0;0;0;0;0;0;0;0;0;16,3;0,0785;-11,39160143;0,961784919;0,61
mar/04;0,69;0,4;1,159602579;2,808460813;10,63890745;-1,111649338;0;0;1;0;0;0;0;0;0;0;0;16,19;-0,0248;-11,75055679;1,003257611;0,47
abr/04;0,39;0,38;1,091985053;0,801176464;11,21745094;-0,949975111;0;0;0;1;0;0;0;0;0;0;0;15,96;0,0005;-12,16742605;1,075493943;0,37
mai/04;0,57;0,44;4,411970981;0,08373489;11,61921641;-0,509637346;0;0;0;0;1;0;0;0;0;0;0;15,77;0,1944;-12,12885376;1,388091824;0,51
jun/04;0,58;0,83;-3,510481858;0,304683984;12,03632434;-0,5625;0;0;0;0;0;1;0;0;0;0;0;15,8;0,0287;-12,59882434;1,150890558;0,71
jul/04;0,52;0,59;-2,924786664;1,909154305;12,42779412;-0,626736111;0;0;0;0;0;0;1;0;0;0;0;15,77;-0,0923;-13,05453023;0,971051737;0,91
ago/04;0,6;0,55;-0,697632316;1,417208514;12,69357236;-0,694444444;0;0;0;0;0;0;0;1;0;0;0;15,86;-0,0339;-13,3880168;1,004909798;0,69
set/04;0,22;0,47;-3,320330875;0,678612549;13,01693763;-0,731635842;0;0;0;0;0;0;0;0;1;0;0;16,09;-0,1118;-13,74857347;0,791094151;0,33
out/04;0,29;0,6;-1,753697214;0,382899734;13,18670115;-0,715434028;0;0;0;0;0;0;0;0;0;1;0;16,41;-0,0382;-13,90213518;0,838511728;0,44
nov/04;0,39;0,56;-0,059616717;0,49412938;13,48716997;-0,918402778;0;0;0;0;0;0;0;0;0;0;1;16,96;-0,0669;-14,40557275;0,781035603;0,69
dez/04;0,62;0,62;-6,073890803;-0,483976018;13,58745877;-0,995243764;0;0;0;0;0;0;0;0;0;0;0;17,5;-0,0678;-14,58270253;0,749519621;0,86
jan/05;0,61;0,6;-2,212087745;-2,312018705;13,32654503;-4,29E-05;1;0;0;0;0;0;0;0;0;0;0;17,93;-0,0252;-13,32658793;0,69971528;0,58
fev/05;0,77;0,44;1,000851256;-2,276028654;13,19352237;0;0;1;0;0;0;0;0;0;0;0;0;18,47;-0,0952;-13,19352237;0,506164641;0,59
mar/05;0,33;0,45;3,483126301;2,084226914;13,31294294;0;0;0;1;0;0;0;0;0;0;0;0;18,97;0,1069;-13,31294294;0,965372215;0,61
abr/05;0,76;0,47;-3,795292585;0,74939095;13,37876912;0;0;0;0;1;0;0;0;0;0;0;0;19,32;-0,1255;-13,37876912;0,78758885;0,87
mai/05;0,59;0,38;-6,806806589;5,95E-03;12,6020842;0;0;0;0;0;1;0;0;0;0;0;0;19,61;-0,1264;-12,6020842;0,473047718;0,49
jun/05;0,04;0,56;-2,980094863;0,092622118;12,14131117;0;0;0;0;0;0;1;0;0;0;0;0;19,75;-0,0393;-12,14131117;0,547880719;-0,02
jul/05;0;0,4;0,993821457;0,567445544;11,80553322;0;0;0;0;0;0;0;1;0;0;0;0;19,72;-0,04;-11,80553322;0,50316994;0,25
ago/05;-0,05;0,37;-1,046629528;1,165296789;11,55978867;-1,89E-05;0;0;0;0;0;0;0;1;0;0;0;19,75;-0,0129;-11,55980757;0,426004092;0,17
set/05;0,1;0,41;-5,246644362;-0,611553974;11,29871811;0;0;0;0;0;0;0;0;0;1;0;0;19,61;-0,0662;-11,29871811;0,549040498;0,35
out/05;0,38;0,38;2,560159626;-0,626588621;11,42719231;0;0;0;0;0;0;0;0;0;0;1;0;19,25;-0,0379;-11,42719231;0,924450759;0,75
nov/05;0,42;0,37;-3,271653239;-0,634884584;11,39969263;0,00E+00;0;0;0;0;0;0;0;0;0;0;1;18,87;-0,0457;-11,39969263;0,80136049;0,55
dez/05;0,29;0,42;9,204274012;-0,986594477;11,05944238;0;0;0;0;0;0;0;0;0;0;0;0;18,24;0,0747;-11,05944238;0,904032141;0,36
