"","date_quarter","ipca_total","ipca_livres","ic_br","hiato","EInf_t+1","EInf_t+2","EInf_t+3","EInf_t+4","EInf_t+5","EInf_t+6","quarter","ipca_l1","ipca_l2","hiato_l3","ic_l1","Einf_1"
"22",2007.2,0.812185959999989,0.872369042499987,629.3520560951,0.323855152850028,0.736446704971735,0.978610363683637,1.09803030529008,0.699268227108566,0.255294117647065,NA,"2",1.2551991632,1.12409991040001,-1.36354628494001,686.6739033875,0.736446704971735
"23",2007.3,0.892408030400005,1.35579381199999,621.9955301024,0.189467265046517,0.910603425497225,1.12786814466394,0.777239534806825,0.751812708299123,0.308124999999992,NA,"3",0.812185959999989,1.2551991632,-1.5637931296253,629.3520560951,0.910603425497225
"24",2007.4,1.426180436,1.83001227740001,621.0250993088,0.896175494848084,1.189639229427,0.771537717158159,0.904348873575733,0.920494593779268,0.429999999999997,NA,"4",0.892408030400005,0.812185959999989,-0.603859465313927,621.9955301024,1.189639229427
"25",2008.1,1.51760270079999,1.84105585919996,727.2537416,1.43461654783226,0.831972623491883,0.944167475963561,1.13929156515696,1.1232260814628,0.321428571428561,NA,"1",1.426180436,0.892408030400005,0.323855152850028,621.0250993088,0.831972623491883
"26",2008.2,2.094293153,2.72411850240002,778.911309155,1.71657798308478,1.05665148624196,1.19311979527752,1.29473068293498,0.868472661459426,0.395714285714277,NA,"2",1.51760270079999,1.426180436,0.189467265046517,727.2537416,1.05665148624196
"27",2008.3,1.07359385839998,1.05350374999997,717.5868490304,2.61253236891306,1.36524349027611,1.40694053508177,1.11854272987166,1.00595429597129,0.351111111111102,NA,"3",2.094293153,1.51760270079999,0.896175494848084,778.911309155,1.36524349027611
"28",2008.4,1.09389253599999,1.26512665279999,699.1794039328,-2.24722856443039,1.49038311678295,1.13023274703422,1.15052615676057,1.06157385023499,0.442222222222233,NA,"4",1.07359385839998,2.094293153,1.43461654783226,717.5868490304,1.49038311678295
"29",2009.1,1.23470528,1.27487670170001,629.1535284396,-5.24736519936471,0.99807479108441,1.09226281493677,1.18433713931887,1.13119509203129,0.340666666666656,NA,"1",1.09389253599999,1.07359385839998,1.71657798308478,699.1794039328,0.99807479108441
"30",2009.2,1.31568412159997,1.43679065960001,581.7185531234,-3.77368724993103,0.931053155803196,1.05155184159457,1.25369669013691,0.820813460864408,0.343571428571421,NA,"2",1.23470528,1.09389253599999,2.61253236891306,629.1535284396,0.931053155803196
"31",2009.3,0.631296864000008,0.430600269999992,544.2095541368,-2.3573606152469,1.02316646547895,1.2278655309175,0.940615208642207,0.831212789860995,0.327999999999995,NA,"3",1.31568412159997,1.23470528,-2.24722856443039,581.7185531234,1.02316646547895
"32",2009.4,1.0637052476,0.952910864400014,570.8075939168,-0.769151599254936,1.30309099444276,0.973791295435059,0.95048168771706,1.01715423057804,0.463125000000009,NA,"4",0.631296864000008,1.31568412159997,-5.24736519936471,544.2095541368,1.30309099444276
"33",2010.1,2.06383642000001,2.46994956800002,638.87734956,-0.149240003017703,0.997309749560382,0.908137933535643,1.14304842888474,1.26379101975547,1.02141157454212,0.706954775510193,"1",1.0637052476,0.631296864000008,-3.77368724993103,570.8075939168,0.997309749560382
"34",2010.2,1.002451,1.17291323750002,576.7128466224,1.04283364070763,0.921296350196229,1.19226337008855,1.51021467667389,1.0216843284194,1.01100870192841,0.555131240808826,"2",2.06383642000001,1.0637052476,-2.3573606152469,638.87734956,0.921296350196229
"35",2010.3,0.500229017999998,0.499591596799998,624.9794456128,1.57421916727214,1.3628308457577,1.57911910947103,1.04469508353848,0.98073759689438,1.17742051831598,0.739663801587298,"3",1.002451,2.06383642000001,-0.769151599254936,576.7128466224,1.3628308457577
"36",2010.4,2.2262182175,2.78529625280002,806.082781373,1.92138488346136,1.69122015401129,1.10069137361285,1.0028477448487,1.25020424593136,1.45621257021969,0.559428809178752,"4",0.500229017999998,1.002451,-0.149240003017703,624.9794456128,1.69122015401129
"37",2011.1,2.43956945599999,2.41909295960001,1011.0043967477,1.50202716931254,1.16406371066008,0.990543140170256,1.35336355348816,1.55352684014225,1.06084308334813,0.472888108465608,"1",2.2262182175,0.500229017999998,1.04283364070763,806.082781373,1.16406371066008
"38",2011.2,1.39548442850002,1.26507040639998,896.5392898976,1.8600042424749,0.886247176744533,1.43262908070658,1.69197950190951,1.10995513827409,0.904997106491197,0.634943859010284,"2",2.43956945599999,2.2262182175,1.57421916727214,1011.0043967477,0.886247176744533
"39",2011.3,1.06340413760002,1.11360174890003,873.189157925,1.00306352001336,1.47926417066309,1.78322311090556,1.11412026075085,0.91144872646655,1.38387741280244,0.897671930381505,"3",1.39548442850002,2.43956945599999,1.92138488346136,896.5392898976,1.47926417066309
